Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,7-Sep,W,,Jan-00,,Washington Redskins,17,6,321,206,115,1,372,241,131,2,
2,Sun,14-Sep,W,,Feb-00,@,Oakland Raiders,30,14,327,139,188,,364,263,101,4,
3,Sun,21-Sep,L,,1-Feb,@,New York Giants,17,30,411,292,119,3,419,226,193,1,
4,Sun,28-Sep,W,,1-Mar,,Buffalo Bills,23,17,301,264,37,3,316,220,96,2,
5,Sun,5-Oct,L,OT,2-Mar,@,Dallas Cowboys,17,20,330,154,176,1,456,316,140,3,
6,Thu,9-Oct,L,,3-Mar,,Indianapolis Colts,28,33,332,196,136,2,456,363,93,2,
7,Mon,20-Oct,L,,4-Mar,@,Pittsburgh Steelers,23,30,393,261,132,3,328,252,76,1,
8,Sun,26-Oct,W,,4-Apr,@,Tennessee Titans,30,16,405,193,212,,326,290,36,2,
9,Sun,2-Nov,L,,5-Apr,,Philadelphia Eagles,21,31,300,182,118,1,483,293,190,4,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,16-Nov,W,,5-May,@,Cleveland Browns,23,7,424,211,213,1,375,310,65,2,
12,Sun,23-Nov,L,,6-May,,Cincinnati Bengals,13,22,248,184,64,1,372,233,139,1,
13,Sun,30-Nov,W,,6-Jun,,Tennessee Titans,45,21,457,358,99,1,320,237,83,4,
14,Sun,7-Dec,W,,6-Jul,@,Jacksonville Jaguars,27,13,304,135,169,,262,188,74,1,
15,Sun,14-Dec,L,,7-Jul,@,Indianapolis Colts,10,17,289,152,137,2,278,168,110,2,
16,Sun,21-Dec,W,,7-Aug,,Baltimore Ravens,25,13,313,190,123,1,211,178,33,3,
17,Sun,28-Dec,W,,7-Sep,,Jacksonville Jaguars,23,17,358,235,123,2,233,112,121,,
