,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2012.0,1.0,68.75,43.75,50.0,0.0,0.0,91.67,12.0
1,2012.0,1.0,68.75,75.0,25.0,100.0,2.0,88.89,9.0
2,2012.0,1.0,50.0,56.25,43.75,50.0,2.0,63.64,11.0
3,2012.0,1.0,86.67,86.67,26.67,100.0,4.0,88.89,9.0
4,2012.0,1.0,71.43,78.57,64.29,100.0,6.0,100.0,5.0
5,2012.0,1.0,35.71,64.29,50.0,50.0,2.0,60.0,10.0
6,2012.0,1.0,76.92,69.23,53.85,83.33,6.0,100.0,5.0
7,2012.0,1.0,50.0,57.14,64.29,62.5,8.0,100.0,4.0
8,2012.0,1.0,71.43,71.43,50.0,83.33,6.0,83.33,6.0
9,2012.0,1.0,84.62,76.92,46.15,100.0,4.0,75.0,8.0
10,2012.0,1.0,78.57,64.29,64.29,83.33,6.0,100.0,7.0
11,2012.0,1.0,50.0,50.0,37.5,50.0,10.0,66.67,3.0
12,2012.0,1.0,50.0,56.25,37.5,42.86,7.0,85.71,7.0
13,2012.0,1.0,62.5,50.0,37.5,66.67,6.0,66.67,6.0
14,2012.0,1.0,68.75,81.25,43.75,85.71,7.0,100.0,6.0
15,2012.0,1.0,68.75,62.5,62.5,80.0,5.0,80.0,10.0
16,2012.0,1.0,56.25,31.25,37.5,25.0,8.0,75.0,8.0
