,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2018.0,1.0,66.67,80.0,53.33,100.0,3.0,90.0,10.0
1,2018.0,1.0,53.33,53.33,40.0,0.0,1.0,66.67,12.0
2,2018.0,1.0,62.5,75.0,50.0,100.0,4.0,75.0,8.0
3,2018.0,1.0,80.0,80.0,53.33,100.0,5.0,100.0,7.0
4,2018.0,1.0,60.0,40.0,60.0,66.67,6.0,71.43,7.0
5,2018.0,1.0,86.67,73.33,46.67,100.0,4.0,88.89,9.0
6,2018.0,1.0,71.43,64.29,64.29,80.0,5.0,77.78,9.0
7,2018.0,1.0,64.29,78.57,71.43,80.0,10.0,66.67,3.0
8,2018.0,1.0,76.92,76.92,53.85,100.0,4.0,75.0,8.0
9,2018.0,1.0,28.57,57.14,57.14,50.0,2.0,66.67,9.0
10,2018.0,1.0,84.62,61.54,38.46,100.0,3.0,62.5,8.0
11,2018.0,1.0,66.67,73.33,73.33,88.89,9.0,100.0,4.0
12,2018.0,1.0,81.25,56.25,50.0,100.0,6.0,83.33,6.0
13,2018.0,1.0,50.0,81.25,50.0,100.0,4.0,85.71,7.0
14,2018.0,1.0,56.25,56.25,50.0,55.56,9.0,66.67,6.0
15,2018.0,1.0,68.75,62.5,56.25,100.0,5.0,66.67,9.0
16,2018.0,1.0,62.5,75.0,37.5,60.0,10.0,100.0,4.0
