,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2017.0,1.0,60.0,53.33,33.33,0.0,2.0,81.82,11.0
1,2017.0,1.0,75.0,56.25,43.75,100.0,2.0,90.91,11.0
2,2017.0,1.0,56.25,62.5,31.25,100.0,1.0,66.67,9.0
3,2017.0,1.0,56.25,56.25,31.25,50.0,2.0,100.0,9.0
4,2017.0,1.0,57.14,64.29,42.86,60.0,5.0,100.0,5.0
5,2017.0,1.0,71.43,50.0,35.71,100.0,1.0,63.64,11.0
6,2017.0,1.0,53.33,66.67,33.33,66.67,6.0,100.0,3.0
7,2017.0,1.0,76.92,84.62,69.23,100.0,5.0,100.0,7.0
8,2017.0,1.0,46.15,38.46,46.15,66.67,3.0,33.33,6.0
9,2017.0,1.0,71.43,78.57,57.14,100.0,4.0,77.78,9.0
10,2017.0,1.0,64.29,50.0,64.29,80.0,5.0,66.67,6.0
11,2017.0,1.0,81.25,75.0,50.0,85.71,7.0,66.67,9.0
12,2017.0,1.0,75.0,68.75,37.5,85.71,7.0,66.67,6.0
13,2017.0,1.0,62.5,50.0,62.5,75.0,4.0,87.5,8.0
14,2017.0,1.0,68.75,56.25,43.75,80.0,5.0,75.0,8.0
15,2017.0,1.0,75.0,81.25,50.0,85.71,7.0,100.0,6.0
16,2017.0,1.0,75.0,62.5,50.0,71.43,7.0,75.0,8.0
