Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,10-Sep,W,,Jan-00,@,Cleveland Browns,21,18,290,255,35,1,237,180,57,1,
2,Sun,17-Sep,W,,Feb-00,,Minnesota Vikings,26,9,335,233,102,,237,146,91,1,
3,Sun,24-Sep,L,OT,1-Feb,@,Chicago Bears,17,23,282,212,70,2,306,84,222,2,
4,Sun,1-Oct,W,,1-Mar,@,Baltimore Ravens,26,9,381,208,173,1,288,206,82,3,
5,Sun,8-Oct,L,,2-Mar,,Jacksonville Jaguars,9,30,371,301,70,5,313,82,231,1,
6,Sun,15-Oct,W,,2-Apr,@,Kansas City Chiefs,19,13,439,245,194,1,251,223,28,,
7,Sun,22-Oct,W,,2-May,,Cincinnati Bengals,29,14,420,268,152,,179,108,71,2,
8,Sun,29-Oct,W,,2-Jun,@,Detroit Lions,20,15,392,317,75,2,482,411,71,1,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,12-Nov,W,,2-Jul,@,Indianapolis Colts,20,17,316,228,88,1,267,196,71,1,
11,Thu,16-Nov,W,,2-Aug,,Tennessee Titans,40,17,349,284,65,,316,264,52,4,
12,Sun,26-Nov,W,,2-Sep,,Green Bay Packers,31,28,462,341,121,3,307,227,80,,
13,Mon,4-Dec,W,,2-Oct,@,Cincinnati Bengals,23,20,374,282,92,1,353,223,130,,
14,Sun,10-Dec,W,,2-Nov,,Baltimore Ravens,39,38,545,486,59,,413,261,152,1,
15,Sun,17-Dec,L,,3-Nov,,New England Patriots,24,27,413,270,143,1,360,283,77,1,
16,Mon,25-Dec,W,,3-Dec,@,Houston Texans,34,6,330,226,104,,227,51,176,2,
17,Sun,31-Dec,W,,13-3,,Cleveland Browns,28,24,348,224,124,2,374,272,102,2,
18,Sun,14-Jan,L,,13-4,,Jacksonville Jaguars,42,45,545,462,83,2,378,214,164,,
