Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,12-Sep,L,,0-1,,Arizona Cardinals,13,17,325,240,85,4,378,266,112,4,0
2,Sun,19-Sep,L,,0-2,@,Oakland Raiders,14,16,210,135,75,1,404,231,173,2,0
3,Sun,26-Sep,W,,2-Jan,,Washington Redskins,30,16,365,232,133,2,349,233,116,2,0
4,Sun,3-Oct,W,,2-Feb,,Seattle Seahawks,20,3,349,261,88,1,257,193,64,2,0
5,Sun,10-Oct,L,,3-Feb,@,Detroit Lions,6,44,341,213,128,3,322,233,89,,0
6,Sun,17-Oct,W,,3-Mar,,San Diego Chargers,20,17,300,183,117,,287,208,79,1,0
7,Sun,24-Oct,L,,4-Mar,@,Tampa Bay Buccaneers,17,18,285,124,161,1,313,189,124,,0
8,Sun,31-Oct,W,,4-Apr,,Carolina Panthers,20,10,246,184,62,,201,176,25,4,0
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,14-Nov,L,OT,5-Apr,@,San Francisco 49ers,20,23,332,228,104,,421,323,98,,1
11,Sun,21-Nov,L,,6-Apr,,Atlanta Falcons,17,34,304,233,71,1,391,253,138,,0
12,Sun,28-Nov,W,,6-May,@,Denver Broncos,36,33,431,308,123,,449,330,119,2,0
13,Sun,5-Dec,W,,6-Jun,@,Arizona Cardinals,19,6,288,169,119,1,224,119,105,2,0
14,Sun,12-Dec,L,,7-Jun,@,New Orleans Saints,13,31,327,191,136,3,345,213,132,3,0
15,Sun,19-Dec,L,,8-Jun,,Kansas City Chiefs,13,27,224,155,69,2,383,173,210,1,0
16,Sun,26-Dec,W,,8-Jul,,San Francisco 49ers,25,17,335,275,60,1,331,246,85,2,0
17,Sun,2-Jan,L,,9-Jul,@,Seattle Seahawks,6,16,184,137,47,1,333,192,141,1,0
