Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,7-Sep,L,,0-1,,San Francisco 49ers,17,28,382,255,127,4,319,192,127,,
2,Sun,14-Sep,W,,1-Jan,@,Tennessee Titans,26,10,368,148,220,1,314,232,82,2,
3,Sun,21-Sep,W,,1-Feb,@,St. Louis Rams,34,31,340,217,123,2,448,327,121,3,
4,Sun,28-Sep,W,,1-Mar,,New Orleans Saints,38,17,445,255,190,,438,334,104,3,
5,Sun,5-Oct,W,OT,1-Apr,,Houston Texans,20,17,456,316,140,3,330,154,176,1,
6,Sun,12-Oct,W,,1-May,@,Seattle Seahawks,30,23,401,239,162,2,206,126,80,1,
7,Sun,19-Oct,W,,1-Jun,,New York Giants,31,21,423,267,156,1,352,248,104,2,
8,Mon,27-Oct,L,OT,2-Jun,,Washington Redskins,17,20,395,224,171,2,409,286,123,1,
9,Sun,2-Nov,L,,3-Jun,,Arizona Cardinals,17,28,266,174,92,2,339,237,102,1,
10,Sun,9-Nov,W,,3-Jul,@,Jacksonville Jaguars,31,17,399,248,151,1,333,262,71,3,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,23-Nov,W,,3-Aug,@,New York Giants,31,28,385,266,119,1,417,328,89,1,
13,Thu,27-Nov,L,,4-Aug,,Philadelphia Eagles,10,33,267,174,93,3,464,208,256,1,
14,Thu,4-Dec,W,,4-Sep,@,Chicago Bears,41,28,397,203,194,,376,341,35,2,
15,Sun,14-Dec,W,,4-Oct,@,Philadelphia Eagles,38,27,364,249,115,1,294,219,75,3,
16,Sun,21-Dec,W,,4-Nov,,Indianapolis Colts,42,7,377,250,127,1,229,228,1,3,
17,Sun,28-Dec,W,,4-Dec,@,Washington Redskins,44,17,473,299,174,1,413,309,104,4,
18,Sun,4-Jan,W,,13-4,,Detroit Lions,24,20,315,242,73,1,397,307,90,3,
19,Sun,11-Jan,L,,13-5,@,Green Bay Packers,21,26,315,170,145,1,416,297,119,1,
