Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,New York Giants,27,26,436,356,80,3,288,189,99,,
2,Sun,20-Sep,W,,Feb-00,@,Philadelphia Eagles,20,10,359,250,109,2,226,219,7,3,
3,Sun,27-Sep,L,,1-Feb,,Atlanta Falcons,28,39,347,220,127,1,438,280,158,,
4,Sun,4-Oct,L,OT,2-Feb,@,New Orleans Saints,20,26,335,220,115,,438,335,103,,
5,Sun,11-Oct,L,,3-Feb,,New England Patriots,6,30,265,163,102,2,356,247,109,,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,25-Oct,L,,4-Feb,@,New York Giants,20,27,460,227,233,4,289,157,132,,
8,Sun,1-Nov,L,,5-Feb,,Seattle Seahawks,12,13,220,91,129,,323,210,113,1,
9,Sun,8-Nov,L,OT,6-Feb,,Philadelphia Eagles,27,33,411,277,134,1,459,287,172,,
10,Sun,15-Nov,L,,7-Feb,@,Tampa Bay Buccaneers,6,10,216,174,42,1,330,246,84,2,
11,Sun,22-Nov,W,,7-Mar,@,Miami Dolphins,24,14,386,220,166,2,210,140,70,1,
12,Thu,26-Nov,L,,8-Mar,,Carolina Panthers,14,33,210,179,31,3,294,165,129,,
13,Mon,7-Dec,W,,8-Apr,@,Washington Redskins,19,16,318,221,97,3,266,193,73,1,
14,Sun,13-Dec,L,,9-Apr,@,Green Bay Packers,7,28,270,99,171,1,435,205,230,,
15,Sat,19-Dec,L,,10-Apr,,New York Jets,16,19,309,176,133,4,372,299,73,1,
16,Sun,27-Dec,L,,11-Apr,@,Buffalo Bills,6,16,307,186,121,2,408,172,236,2,
17,Sun,3-Jan,L,,12-Apr,,Washington Redskins,23,34,512,412,100,4,437,291,146,,
