Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,,Jan-00,@,Jacksonville Jaguars,40,26,491,378,113,,428,347,81,2,
2,Sun,15-Sep,W,,Feb-00,@,Oakland Raiders,28,10,467,436,31,1,307,178,129,2,
3,Sun,22-Sep,W,,Mar-00,,Baltimore Ravens,33,28,503,363,140,,452,249,203,,
4,Sun,29-Sep,W,,Apr-00,@,Detroit Lions,34,30,438,315,123,3,447,261,186,2,
5,Sun,6-Oct,L,,1-Apr,,Indianapolis Colts,13,19,324,288,36,1,331,151,180,1,
6,Sun,13-Oct,L,,2-Apr,,Houston Texans,24,31,309,256,53,2,472,280,192,3,
7,Thu,17-Oct,W,,2-May,@,Denver Broncos,30,6,271,191,80,,205,134,71,1,
8,Sun,27-Oct,L,,3-May,,Green Bay Packers,24,31,337,249,88,1,374,256,118,,
9,Sun,3-Nov,W,,3-Jun,,Minnesota Vikings,26,23,377,230,147,1,308,212,96,,
10,Sun,10-Nov,L,,4-Jun,@,Tennessee Titans,32,35,530,433,97,1,371,146,225,1,
11,Mon,18-Nov,W,,4-Jul,@,Los Angeles Chargers,24,17,310,180,130,1,438,345,93,4,
12,,,,,,,Bye Week,,,,,,,,,,,
13,Sun,1-Dec,W,,4-Aug,,Oakland Raiders,40,9,259,163,96,,332,210,122,3,
14,Sun,8-Dec,W,,4-Sep,@,New England Patriots,23,16,346,271,75,2,278,184,94,1,
15,Sun,15-Dec,W,,4-Oct,,Denver Broncos,23,3,419,327,92,1,251,199,52,1,
16,Sun,22-Dec,W,,4-Nov,@,Chicago Bears,26,3,350,244,106,,234,133,101,,
17,Sun,29-Dec,W,,4-Dec,,Los Angeles Chargers,31,21,336,174,162,1,366,258,108,2,
18,Sun,12-Jan,W,,13-4,,Houston Texans,51,31,434,316,118,1,442,348,94,1,
19,Sun,19-Jan,W,,14-4,,Tennessee Titans,35,24,404,292,112,,295,210,85,,
20,Sun,2-Feb,W,,15-4,N,San Francisco 49ers,31,20,397,268,129,2,351,210,141,2,
