Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,13-Sep,W,,Jan-00,,San Diego Chargers,21,14,197,62,135,,389,280,109,1,
2,Sun,19-Sep,W,,Feb-00,@,Cleveland Browns,16,14,312,172,140,2,299,226,73,2,
3,Sun,26-Sep,W,,Mar-00,,San Francisco 49ers,31,10,457,250,207,1,251,208,43,1,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,10-Oct,L,,1-Mar,@,Indianapolis Colts,9,19,261,148,113,1,341,244,97,1,
6,Sun,17-Oct,L,,2-Mar,@,Houston Texans,31,35,417,189,228,,421,289,132,,
7,Sun,24-Oct,W,,2-Apr,,Jacksonville Jaguars,42,20,426,190,236,,300,216,84,3,
8,Sun,31-Oct,W,OT,2-May,,Buffalo Bills,13,10,414,140,274,,328,191,137,1,
9,Sun,7-Nov,L,OT,3-May,@,Oakland Raiders,20,23,304,200,104,2,321,209,112,3,
10,Sun,14-Nov,L,,4-May,@,Denver Broncos,29,49,484,433,51,1,452,299,153,,
11,Sun,21-Nov,W,,4-Jun,,Arizona Cardinals,31,13,352,193,159,,382,281,101,,
12,Sun,28-Nov,W,,4-Jul,@,Seattle Seahawks,42,24,503,233,270,1,288,268,20,3,
13,Sun,5-Dec,W,,4-Aug,,Denver Broncos,10,6,359,174,185,1,247,86,161,1,
14,Sun,12-Dec,L,,5-Aug,@,San Diego Chargers,0,31,67,19,48,,426,219,207,2,
15,Sun,19-Dec,W,,5-Sep,@,St. Louis Rams,27,13,383,173,210,1,224,155,69,2,
16,Sun,26-Dec,W,,5-Oct,,Tennessee Titans,34,14,458,306,152,2,270,213,57,2,
17,Sun,2-Jan,L,,6-Oct,,Oakland Raiders,10,31,201,86,115,2,344,135,209,1,
18,Sun,9-Jan,L,,7-Oct,,Baltimore Ravens,7,30,161,53,108,5,390,248,142,2,
