Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,8-Sep,W,,Jan-00,,Carolina Panthers,21,20,307,159,148,3,333,176,157,1,
2,Sun,18-Sep,W,,Feb-00,,Indianapolis Colts,34,20,400,266,134,1,253,170,83,2,
3,Sun,25-Sep,W,,Mar-00,@,Cincinnati Bengals,29,17,355,303,52,1,332,189,143,2,
4,Sun,2-Oct,W,,Apr-00,@,Tampa Bay Buccaneers,27,7,307,218,89,,215,143,72,3,
5,Sun,9-Oct,L,,1-Apr,,Atlanta Falcons,16,23,267,183,84,1,372,250,122,1,
6,Thu,13-Oct,L,,2-Apr,@,San Diego Chargers,13,21,304,220,84,2,265,166,99,2,
7,Mon,24-Oct,W,,2-May,,Houston Texans,27,9,347,157,190,,271,131,140,2,
8,Sun,30-Oct,W,,2-Jun,,San Diego Chargers,27,19,324,267,57,3,369,246,123,3,
9,Sun,6-Nov,L,,3-Jun,@,Oakland Raiders,20,30,299,266,33,2,397,179,218,,
10,Sun,13-Nov,W,,3-Jul,@,New Orleans Saints,25,23,337,234,103,2,373,293,80,4,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,27-Nov,L,OT,4-Jul,,Kansas City Chiefs,27,30,464,340,124,1,273,190,83,,
13,Sun,4-Dec,W,,4-Aug,@,Jacksonville Jaguars,20,10,206,102,104,,333,179,154,3,
14,Sun,11-Dec,L,,5-Aug,@,Tennessee Titans,10,13,348,330,18,2,253,73,180,,
15,Sun,18-Dec,L,,6-Aug,,New England Patriots,3,16,309,251,58,3,313,177,136,,
16,Sun,25-Dec,L,,7-Aug,@,Kansas City Chiefs,10,33,246,183,63,3,484,246,238,1,
17,Sun,1-Jan,W,,7-Sep,,Oakland Raiders,24,6,349,206,143,1,221,164,57,3,
