Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,5-Sep,W,,Jan-00,,Baltimore Ravens,49,27,510,445,65,2,393,335,58,2,
2,Sun,15-Sep,W,,Feb-00,@,New York Giants,41,23,414,307,107,1,376,353,23,4,
3,Mon,23-Sep,W,,Mar-00,,Oakland Raiders,37,21,536,372,164,2,342,293,49,,
4,Sun,29-Sep,W,,Apr-00,,Philadelphia Eagles,52,20,472,331,141,,450,284,166,,
5,Sun,6-Oct,W,,May-00,@,Dallas Cowboys,51,48,517,414,103,2,522,470,52,2,
6,Sun,13-Oct,W,,Jun-00,,Jacksonville Jaguars,35,19,407,295,112,3,362,291,71,2,
7,Sun,20-Oct,L,,1-Jun,@,Indianapolis Colts,33,39,429,365,64,3,334,213,121,1,
8,Sun,27-Oct,W,,1-Jul,,Washington Redskins,45,21,446,339,107,4,266,154,112,5,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,10-Nov,W,,1-Aug,@,San Diego Chargers,28,20,397,313,84,1,329,198,131,,
11,Sun,17-Nov,W,,1-Sep,,Kansas City Chiefs,27,17,427,323,104,1,344,200,144,1,
12,Sun,24-Nov,L,OT,2-Sep,@,New England Patriots,31,34,412,132,280,4,440,324,116,3,
13,Sun,1-Dec,W,,2-Oct,@,Kansas City Chiefs,35,28,535,403,132,2,452,293,159,1,
14,Sun,8-Dec,W,,2-Nov,,Tennessee Titans,51,28,551,397,154,,254,158,96,2,
15,Thu,12-Dec,L,,3-Nov,,San Diego Chargers,20,27,295,277,18,1,337,160,177,,
16,Sun,22-Dec,W,,3-Dec,@,Houston Texans,37,13,511,397,114,,240,153,87,2,
17,Sun,29-Dec,W,,13-3,@,Oakland Raiders,34,14,458,334,124,,255,191,64,1,
18,Sun,12-Jan,W,,14-3,,San Diego Chargers,24,17,363,230,133,2,259,194,65,,
19,Sun,19-Jan,W,,15-3,,New England Patriots,26,16,507,400,107,,320,256,64,,
20,Sun,2-Feb,L,,15-4,N,Seattle Seahawks,8,43,306,279,27,4,341,206,135,,
