Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,L,,0-1,@,Green Bay Packers,23,24,294,155,139,1,370,301,69,2,
2,Mon,17-Sep,W,,1-Jan,,Seattle Seahawks,24,17,271,185,86,2,276,202,74,2,
3,Sun,23-Sep,W,,1-Feb,@,Arizona Cardinals,16,14,316,194,122,2,221,168,53,4,
4,Sun,30-Sep,W,,1-Mar,,Tampa Bay Buccaneers,48,10,483,344,139,,311,251,60,3,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,14-Oct,L,OT,2-Mar,@,Miami Dolphins,28,31,467,303,164,3,541,380,161,3,
7,Sun,21-Oct,L,,3-Mar,,New England Patriots,31,38,453,319,134,2,381,273,108,3,
8,Sun,28-Oct,W,,3-Apr,,New York Jets,24,10,395,216,179,,207,150,57,,
9,Sun,4-Nov,W,,3-May,@,Buffalo Bills,41,9,190,126,64,1,264,166,98,4,
10,Sun,11-Nov,W,,3-Jun,,Detroit Lions,34,22,402,348,54,,305,229,76,3,
11,Sun,18-Nov,W,,3-Jul,,Minnesota Vikings,25,20,308,160,148,3,268,246,22,3,
12,Thu,22-Nov,W,,3-Aug,@,Detroit Lions,23,16,264,226,38,1,333,222,111,2,
13,Sun,2-Dec,L,OT,4-Aug,@,New York Giants,27,30,376,258,118,3,338,197,141,1,
14,Sun,9-Dec,W,,4-Sep,,Los Angeles Rams,15,6,294,100,194,3,214,162,52,4,
15,Sun,16-Dec,W,,4-Oct,,Green Bay Packers,24,17,332,232,100,1,323,235,88,1,
16,Sun,23-Dec,W,,4-Nov,@,San Francisco 49ers,14,9,325,235,90,2,279,232,47,1,
17,Sun,30-Dec,W,,4-Dec,@,Minnesota Vikings,24,10,332,163,169,,164,101,63,,
18,Sun,6-Jan,L,,5-Dec,,Philadelphia Eagles,15,16,356,291,65,,300,258,42,2,
