Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,12-Sep,W,,Jan-00,,Dallas Cowboys,13,7,250,161,89,,380,277,103,1,
2,Sun,19-Sep,L,OT,1-Jan,,Houston Texans,27,30,421,403,18,,526,468,58,1,
3,Sun,26-Sep,L,,2-Jan,@,St. Louis Rams,16,30,349,233,116,2,365,232,133,2,
4,Sun,3-Oct,W,,2-Feb,@,Philadelphia Eagles,17,12,293,124,169,1,353,243,110,2,
5,Sun,10-Oct,W,OT,2-Mar,,Green Bay Packers,16,13,373,322,51,1,427,270,157,2,
6,Sun,17-Oct,L,,3-Mar,,Indianapolis Colts,24,27,335,222,113,2,469,299,170,3,
7,Sun,24-Oct,W,,3-Apr,@,Chicago Bears,17,14,308,187,121,3,322,256,66,6,
8,Sun,31-Oct,L,,4-Apr,@,Detroit Lions,25,37,275,195,80,2,304,202,102,2,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Mon,15-Nov,L,,5-Apr,,Philadelphia Eagles,28,59,375,270,105,3,592,332,260,,
11,Sun,21-Nov,W,OT,5-May,@,Tennessee Titans,19,16,465,358,107,1,373,222,151,2,
12,Sun,28-Nov,L,,6-May,,Minnesota Vikings,13,17,216,187,29,1,299,162,137,,
13,Sun,5-Dec,L,,7-May,@,New York Giants,7,31,338,264,74,6,358,161,197,1,
14,Sun,12-Dec,L,,8-May,,Tampa Bay Buccaneers,16,17,399,211,188,1,365,262,103,2,
15,Sun,19-Dec,L,,9-May,@,Dallas Cowboys,30,33,341,286,55,3,434,300,134,,
16,Sun,26-Dec,W,OT,9-Jun,@,Jacksonville Jaguars,20,17,251,172,79,1,336,258,78,2,
17,Sun,2-Jan,L,,10-Jun,,New York Giants,14,17,385,318,67,4,325,243,82,1,
