Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,7-Sep,W,,Jan-00,,New England Patriots,33,20,360,169,191,3,315,226,89,2,
2,Sun,14-Sep,L,,1-Jan,@,Buffalo Bills,10,29,290,210,80,2,315,202,113,,
3,Sun,21-Sep,L,,2-Jan,,Kansas City Chiefs,15,34,332,191,141,,342,168,174,2,
4,Sun,28-Sep,W,,2-Feb,@,Oakland Raiders,38,14,435,278,157,3,317,264,53,4,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,12-Oct,L,,3-Feb,,Green Bay Packers,24,27,349,237,112,3,369,248,121,,
7,Sun,19-Oct,W,,3-Mar,@,Chicago Bears,27,14,393,256,137,,224,172,52,3,
8,Sun,26-Oct,W,,3-Apr,@,Jacksonville Jaguars,27,13,326,178,148,1,377,201,176,3,
9,Sun,2-Nov,W,,3-May,,San Diego Chargers,37,0,441,309,132,,178,128,50,4,
10,Sun,9-Nov,L,,4-May,@,Detroit Lions,16,20,228,178,50,2,351,288,63,1,
11,Thu,13-Nov,W,,4-Jun,,Buffalo Bills,22,9,330,205,125,2,237,183,54,,
12,Sun,23-Nov,L,,5-Jun,@,Denver Broncos,36,39,313,216,97,1,450,249,201,1,
13,Mon,1-Dec,W,,5-Jul,@,New York Jets,16,13,291,217,74,1,326,49,277,1,
14,Sun,7-Dec,L,,6-Jul,,Baltimore Ravens,13,28,249,186,63,,447,264,183,1,
15,Sun,14-Dec,L,,7-Jul,@,New England Patriots,13,41,384,308,76,2,395,287,108,1,
16,Sun,21-Dec,W,,7-Aug,,Minnesota Vikings,37,35,493,383,110,2,357,238,119,1,
17,Sun,28-Dec,L,,8-Aug,,New York Jets,24,37,387,208,179,1,494,390,104,1,
