Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,12-Sep,W,,Jan-00,@,Buffalo Bills,15,10,296,164,132,,166,116,50,,
2,Sun,19-Sep,W,,Feb-00,@,Minnesota Vikings,14,10,226,106,120,2,364,208,156,4,
3,Sun,26-Sep,L,,1-Feb,,New York Jets,23,31,436,352,84,1,402,256,146,,
4,Mon,4-Oct,L,,2-Feb,,New England Patriots,14,41,400,308,92,4,265,146,119,,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,17-Oct,W,OT,2-Mar,@,Green Bay Packers,23,20,381,231,150,1,359,283,76,1,
7,Sun,24-Oct,L,,3-Mar,,Pittsburgh Steelers,22,23,313,249,64,2,348,290,58,2,
8,Sun,31-Oct,W,,3-Apr,@,Cincinnati Bengals,22,14,354,217,137,2,262,156,106,1,
9,Sun,7-Nov,L,,4-Apr,@,Baltimore Ravens,10,26,289,216,73,3,402,256,146,,
10,Sun,14-Nov,W,,4-May,,Tennessee Titans,29,17,404,316,88,1,259,124,135,3,
11,Thu,18-Nov,L,,5-May,,Chicago Bears,0,16,187,148,39,1,268,133,135,1,
12,Sun,28-Nov,W,,5-Jun,@,Oakland Raiders,33,17,471,285,186,1,263,247,16,3,
13,Sun,5-Dec,L,,6-Jun,,Cleveland Browns,10,13,281,167,114,3,252,200,52,,
14,Sun,12-Dec,W,,6-Jul,@,New York Jets,10,6,131,30,101,3,280,193,87,2,
15,Sun,19-Dec,L,,7-Jul,,Buffalo Bills,14,17,326,261,65,2,282,211,71,1,
16,Sun,26-Dec,L,,8-Jul,,Detroit Lions,27,34,425,271,154,3,275,208,67,,
17,Sun,2-Jan,L,,9-Jul,@,New England Patriots,7,38,250,206,44,2,502,321,181,1,
