Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,@,Kansas City Chiefs,40,24,376,292,84,,393,241,152,3,
2,Mon,17-Sep,W,,Feb-00,,Denver Broncos,27,21,275,208,67,,336,218,118,4,
3,Sun,23-Sep,W,,Mar-00,@,San Diego Chargers,27,3,384,265,119,1,280,164,116,4,
4,Sun,30-Sep,W,,Apr-00,,Carolina Panthers,30,28,426,305,121,1,404,205,199,1,
5,Sun,7-Oct,W,,May-00,@,Washington Redskins,24,17,421,338,83,2,316,187,129,2,
6,Sun,14-Oct,W,,Jun-00,,Oakland Raiders,23,20,286,241,45,3,474,325,149,3,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,28-Oct,W,,Jul-00,@,Philadelphia Eagles,30,17,392,246,146,,270,178,92,,
9,Sun,4-Nov,W,,Aug-00,,Dallas Cowboys,19,13,453,330,123,,377,312,65,,
10,Sun,11-Nov,L,,1-Aug,@,New Orleans Saints,27,31,454,408,46,1,440,292,148,1,
11,Sun,18-Nov,W,,1-Sep,,Arizona Cardinals,23,19,354,296,58,6,178,41,137,1,
12,Sun,25-Nov,W,,1-Oct,@,Tampa Bay Buccaneers,24,23,424,345,79,2,326,276,50,,
13,Thu,29-Nov,W,,1-Nov,,New Orleans Saints,23,13,283,159,124,1,436,335,101,5,
14,Sun,9-Dec,L,,2-Nov,@,Carolina Panthers,20,30,362,327,35,1,475,280,195,,
15,Sun,16-Dec,W,,2-Dec,,New York Giants,34,0,394,265,129,,256,159,97,3,
16,Sat,22-Dec,W,,13-2,@,Detroit Lions,31,18,344,271,73,,522,443,79,3,
17,Sun,30-Dec,L,,13-3,,Tampa Bay Buccaneers,17,22,278,213,65,,366,222,144,1,
18,Sun,13-Jan,W,,14-3,,Seattle Seahawks,30,28,417,250,167,2,491,368,123,2,
19,Sun,20-Jan,L,,14-4,,San Francisco 49ers,24,28,477,396,81,2,373,224,149,1,
