Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,,Jan-00,,Cincinnati Bengals,21,20,232,160,72,1,429,395,34,3,
2,Sun,15-Sep,W,,Feb-00,@,Pittsburgh Steelers,28,26,425,274,151,2,261,180,81,1,
3,Sun,22-Sep,L,,1-Feb,,New Orleans Saints,27,33,514,406,108,1,265,177,88,1,
4,Sun,29-Sep,W,,1-Mar,@,Arizona Cardinals,27,10,340,225,115,,321,206,115,1,
5,Thu,3-Oct,W,,1-Apr,,Los Angeles Rams,30,29,429,262,167,1,477,395,82,2,
6,Sun,13-Oct,W,,1-May,@,Cleveland Browns,32,28,454,284,170,1,406,249,157,4,
7,Sun,20-Oct,L,,2-May,,Baltimore Ravens,16,30,347,241,106,2,340,141,199,,
8,Sun,27-Oct,W,,2-Jun,@,Atlanta Falcons,27,20,322,171,151,,510,441,69,3,
9,Sun,3-Nov,W,OT,2-Jul,,Tampa Bay Buccaneers,40,34,492,347,145,1,418,319,99,1,
10,Mon,11-Nov,W,OT,2-Aug,@,San Francisco 49ers,27,24,336,189,147,4,302,215,87,3,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,24-Nov,W,,2-Sep,@,Philadelphia Eagles,17,9,348,174,174,2,344,238,106,5,
13,Mon,2-Dec,W,,2-Oct,,Minnesota Vikings,37,30,444,226,218,2,354,276,78,3,
14,Sun,8-Dec,L,,3-Oct,@,Los Angeles Rams,12,28,308,202,106,1,455,293,162,2,
15,Sun,15-Dec,W,,3-Nov,@,Carolina Panthers,30,24,428,274,154,1,414,269,145,3,
16,Sun,22-Dec,L,,4-Nov,,Arizona Cardinals,13,27,224,133,91,1,412,159,253,,
17,Sun,29-Dec,L,,5-Nov,,San Francisco 49ers,21,26,348,223,125,,398,270,128,,
18,Sun,5-Jan,W,,5-Dec,@,Philadelphia Eagles,17,9,382,318,64,,282,162,120,,
19,Sun,12-Jan,L,,6-Dec,@,Green Bay Packers,23,28,375,265,110,,344,235,109,,
