,Year,Week,Day,Base_Team,Opp,Home,After_Bye,Wins Tally,PF Tally,PA Tally,OPassY Tally,ORushY Tally,OTotYd Tally,TO_lost Tally,DPassY Tally,DRushY Tally,DTotYd Tally,TO_won Tally,Head_Coach,OC,DC,QB,Results
2,2020,3,Sun,49ers,Giants,0.0,0,1.0,51.0,37.0,420.0,305.0,725.0,1.0,397.0,284.0,681.0,1.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,1.0
18,2019,3,Sun,49ers,Steelers,1.0,0,2.0,72.0,34.0,470.0,357.0,827.0,3.0,465.0,146.0,611.0,5.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,1.0
34,2018,3,Sun,49ers,Chiefs,0.0,0,1.0,46.0,51.0,393.0,280.0,673.0,4.0,556.0,214.0,770.0,2.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,0.0
50,2017,3,Thu,49ers,Rams,1.0,0,0.0,12.0,35.0,255.0,210.0,465.0,3.0,352.0,247.0,599.0,2.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Brian Hoyer,0.0
66,2016,3,Sun,49ers,Seahawks,0.0,0,1.0,55.0,46.0,407.0,215.0,622.0,4.0,473.0,241.0,714.0,6.0,Chip Kelly,Curtis Modkins,Jim O'Neil,Blaine Gabbert,0.0
82,2015,3,Sun,49ers,Cardinals,0.0,0,1.0,38.0,46.0,463.0,341.0,804.0,2.0,546.0,155.0,701.0,1.0,Jim Tomsula,Geep Chryst,Eric Mangini,Colin Kaepernick,0.0
98,2014,3,Sun,49ers,Cardinals,0.0,0,1.0,48.0,45.0,424.0,254.0,678.0,4.0,425.0,173.0,598.0,4.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,0.0
114,2013,3,Sun,49ers,Colts,1.0,0,1.0,37.0,57.0,511.0,190.0,701.0,5.0,440.0,235.0,675.0,3.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,0.0
130,2012,3,Sun,49ers,Vikings,0.0,0,2.0,57.0,41.0,392.0,334.0,726.0,1.0,493.0,127.0,620.0,2.0,Jim Harbaugh,Greg Roman,Vic Fangio,Alex Smith,0.0
146,2011,3,Sun,49ers,Bengals,0.0,0,1.0,57.0,44.0,256.0,159.0,415.0,1.0,582.0,109.0,691.0,5.0,Jim Harbaugh,Greg Roman,Vic Fangio,Alex Smith,1.0
162,2010,3,Sun,49ers,Chiefs,0.0,0,0.0,28.0,56.0,489.0,191.0,680.0,6.0,402.0,127.0,529.0,1.0,Mike Singletary,Jimmy Raye,Greg Manusky,Alex Smith,0.0
178,2020,3,Sun,Rams,Bills,0.0,0,2.0,57.0,36.0,527.0,344.0,871.0,2.0,486.0,257.0,743.0,3.0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff,0.0
194,2019,3,Sun,Rams,Browns,0.0,0,2.0,57.0,36.0,448.0,281.0,729.0,2.0,403.0,184.0,587.0,4.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,1.0
210,2018,3,Sun,Rams,Chargers,1.0,0,2.0,67.0,13.0,567.0,230.0,797.0,1.0,383.0,149.0,532.0,4.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,1.0
226,2017,3,Thu,Rams,49ers,0.0,0,1.0,66.0,36.0,545.0,160.0,705.0,3.0,306.0,304.0,610.0,3.0,Sean McVay,Matt LaFleur,Wade Phillips,Jared Goff,1.0
242,2016,3,Sun,Rams,Buccaneers,0.0,0,1.0,9.0,31.0,339.0,129.0,468.0,2.0,409.0,217.0,626.0,2.0,Jeff Fisher,Rob Boras,Gregg Williams,Case Keenum,1.0
258,2015,3,Sun,Rams,Steelers,1.0,0,1.0,44.0,55.0,422.0,143.0,565.0,3.0,410.0,306.0,716.0,2.0,Jeff Fisher,Rob Boras,Gregg Williams,Nick Foles,0.0
274,2014,3,Sun,Rams,Cowboys,1.0,0,1.0,25.0,51.0,466.0,191.0,657.0,3.0,345.0,342.0,687.0,1.0,Jeff Fisher,Brian Schottenheimer,Gregg Williams,Shaun Hill,0.0
290,2013,3,Sun,Rams,Cowboys,0.0,0,1.0,51.0,55.0,651.0,136.0,787.0,3.0,661.0,122.0,783.0,2.0,Jeff Fisher,Brian Schottenheimer,Tim Walton,Sam Bradford,0.0
306,2012,3,Sun,Rams,Bears,0.0,0,1.0,54.0,55.0,474.0,228.0,702.0,3.0,543.0,259.0,802.0,4.0,Jeff Fisher,Brian Schottenheimer,Jeff Fisher,Sam Bradford,0.0
322,2011,3,Sun,Rams,Ravens,1.0,0,0.0,29.0,59.0,489.0,213.0,702.0,3.0,371.0,355.0,726.0,2.0,Steve Spagnuolo,Josh McDaniels,Ken Flajole,Sam Bradford,0.0
338,2010,3,Sun,Rams,Washington,1.0,0,0.0,27.0,33.0,375.0,160.0,535.0,5.0,497.0,285.0,782.0,6.0,Steve Spagnuolo,Pat Shurmur,Ken Flajole,Sam Bradford,1.0
354,2020,3,Sun,Chargers,Panthers,1.0,0,1.0,36.0,36.0,503.0,338.0,841.0,1.0,462.0,247.0,709.0,2.0,Anthony Lynn,Shane Steichen,Gus Bradley,Tyrod Taylor,0.0
370,2019,3,Sun,Chargers,Texans,1.0,0,1.0,40.0,37.0,597.0,262.0,859.0,4.0,418.0,297.0,715.0,2.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,0.0
386,2018,3,Sun,Chargers,Rams,0.0,0,1.0,59.0,58.0,658.0,232.0,890.0,2.0,465.0,190.0,655.0,2.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,0.0
402,2017,3,Sun,Chargers,Chiefs,1.0,0,0.0,38.0,43.0,508.0,108.0,616.0,1.0,406.0,251.0,657.0,2.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,0.0
418,2016,3,Sun,Chargers,Colts,0.0,0,1.0,65.0,47.0,440.0,305.0,745.0,1.0,649.0,152.0,801.0,4.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,0.0
434,2015,3,Sun,Chargers,Vikings,0.0,0,1.0,52.0,52.0,610.0,227.0,837.0,6.0,447.0,244.0,691.0,4.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,0.0
450,2014,3,Sun,Chargers,Bills,0.0,0,1.0,47.0,39.0,514.0,153.0,667.0,1.0,474.0,217.0,691.0,3.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,1.0
466,2013,3,Sun,Chargers,Titans,0.0,0,1.0,61.0,61.0,596.0,206.0,802.0,3.0,751.0,220.0,971.0,1.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,0.0
482,2012,3,Sun,Chargers,Falcons,1.0,0,2.0,60.0,24.0,494.0,180.0,674.0,1.0,450.0,83.0,533.0,2.0,Norv Turner,Hal Hunter,John Pagano,Philip Rivers,0.0
498,2011,3,Sun,Chargers,Chiefs,1.0,0,1.0,45.0,52.0,702.0,175.0,877.0,6.0,438.0,253.0,691.0,1.0,Norv Turner,Clarence Shelmon,Greg Manusky,Philip Rivers,1.0
