,Year,Week,Day,Base_Team,Opp,Home,After_Bye,Wins Tally,PF Tally,PA Tally,OPassY Tally,ORushY Tally,OTotYd Tally,TO_lost Tally,DPassY Tally,DRushY Tally,DTotYd Tally,TO_won Tally,Head_Coach,OC,DC,QB,Results
20,2019,6,Sun,49ers,Rams,0.0,0,4.0,127.0,57.0,909.0,800.0,1709.0,8.0,703.0,327.0,1030.0,11.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,1.0
37,2018,6,Mon,49ers,Packers,0.0,0,1.0,118.0,146.0,1209.0,681.0,1890.0,11.0,1269.0,473.0,1742.0,3.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,0.0
53,2017,6,Sun,49ers,Washington,0.0,0,0.0,89.0,120.0,1109.0,484.0,1593.0,6.0,1249.0,583.0,1832.0,6.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Brian Hoyer,0.0
69,2016,6,Sun,49ers,Bills,0.0,0,1.0,111.0,140.0,850.0,607.0,1457.0,9.0,1114.0,734.0,1848.0,8.0,Chip Kelly,Curtis Modkins,Jim O'Neil,Blaine Gabbert,0.0
85,2015,6,Sun,49ers,Ravens,1.0,0,1.0,75.0,140.0,891.0,645.0,1536.0,7.0,1494.0,540.0,2034.0,3.0,Jim Tomsula,Geep Chryst,Eric Mangini,Colin Kaepernick,1.0
101,2014,6,Mon,49ers,Rams,0.0,0,3.0,110.0,106.0,1035.0,725.0,1760.0,5.0,1028.0,386.0,1414.0,10.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,1.0
117,2013,6,Sun,49ers,Cardinals,1.0,0,3.0,113.0,98.0,908.0,701.0,1609.0,9.0,944.0,568.0,1512.0,9.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,1.0
133,2012,6,Sun,49ers,Giants,1.0,0,4.0,149.0,68.0,1027.0,981.0,2008.0,5.0,906.0,407.0,1313.0,10.0,Jim Harbaugh,Greg Roman,Vic Fangio,Alex Smith,0.0
149,2011,6,Sun,49ers,Lions,0.0,0,4.0,142.0,78.0,915.0,586.0,1501.0,4.0,1322.0,382.0,1704.0,14.0,Jim Harbaugh,Greg Roman,Vic Fangio,Alex Smith,1.0
165,2010,6,Sun,49ers,Raiders,1.0,0,0.0,76.0,130.0,1168.0,389.0,1557.0,15.0,1138.0,557.0,1695.0,5.0,Mike Singletary,Jimmy Raye,Greg Manusky,Alex Smith,1.0
197,2019,6,Sun,Rams,49ers,1.0,0,3.0,146.0,134.0,1587.0,481.0,2068.0,11.0,1216.0,534.0,1750.0,7.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,0.0
213,2018,6,Sun,Rams,Broncos,0.0,0,5.0,173.0,98.0,1686.0,656.0,2342.0,5.0,1173.0,534.0,1707.0,7.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,1.0
229,2017,6,Sun,Rams,Jaguars,0.0,0,3.0,152.0,121.0,1356.0,554.0,1910.0,10.0,1044.0,668.0,1712.0,9.0,Sean McVay,Matt LaFleur,Wade Phillips,Jared Goff,1.0
245,2016,6,Sun,Rams,Lions,0.0,0,3.0,82.0,106.0,1012.0,409.0,1421.0,8.0,1212.0,611.0,1823.0,9.0,Jeff Fisher,Rob Boras,Gregg Williams,Case Keenum,0.0
276,2014,6,Mon,Rams,49ers,1.0,0,1.0,84.0,119.0,1134.0,437.0,1571.0,9.0,769.0,610.0,1379.0,6.0,Jeff Fisher,Brian Schottenheimer,Gregg Williams,Shaun Hill,0.0
293,2013,6,Sun,Rams,Texans,0.0,0,2.0,103.0,141.0,1226.0,332.0,1558.0,6.0,1282.0,630.0,1912.0,8.0,Jeff Fisher,Brian Schottenheimer,Tim Walton,Sam Bradford,1.0
309,2012,6,Sun,Rams,Dolphins,0.0,0,3.0,96.0,94.0,917.0,473.0,1390.0,7.0,1091.0,586.0,1677.0,9.0,Jeff Fisher,Brian Schottenheimer,Jeff Fisher,Sam Bradford,0.0
324,2011,6,Sun,Rams,Packers,0.0,1,0.0,46.0,113.0,748.0,370.0,1118.0,6.0,899.0,719.0,1618.0,5.0,Steve Spagnuolo,Josh McDaniels,Ken Flajole,Sam Bradford,0.0
341,2010,6,Sun,Rams,Chargers,1.0,0,2.0,83.0,96.0,1081.0,509.0,1590.0,11.0,1156.0,554.0,1710.0,10.0,Steve Spagnuolo,Pat Shurmur,Ken Flajole,Sam Bradford,1.0
373,2019,6,Sun,Chargers,Steelers,1.0,0,2.0,103.0,94.0,1412.0,449.0,1861.0,8.0,1075.0,599.0,1674.0,6.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,0.0
389,2018,6,Sun,Chargers,Browns,0.0,0,3.0,137.0,130.0,1448.0,578.0,2026.0,5.0,1351.0,478.0,1829.0,8.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,1.0
405,2017,6,Sun,Chargers,Raiders,0.0,0,1.0,99.0,115.0,1334.0,394.0,1728.0,6.0,951.0,806.0,1757.0,4.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,1.0
421,2016,6,Thu,Chargers,Broncos,1.0,0,1.0,152.0,142.0,1414.0,452.0,1866.0,11.0,1458.0,417.0,1875.0,9.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,1.0
437,2015,6,Sun,Chargers,Packers,0.0,0,2.0,116.0,134.0,1590.0,460.0,2050.0,10.0,1094.0,662.0,1756.0,7.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,0.0
453,2014,6,Sun,Chargers,Raiders,0.0,0,4.0,133.0,63.0,1406.0,440.0,1846.0,2.0,974.0,480.0,1454.0,8.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,1.0
469,2013,6,Mon,Chargers,Colts,1.0,0,2.0,125.0,129.0,1556.0,456.0,2012.0,10.0,1455.0,586.0,2041.0,2.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,1.0
485,2012,6,Mon,Chargers,Broncos,1.0,0,3.0,124.0,102.0,1157.0,517.0,1674.0,8.0,1300.0,370.0,1670.0,10.0,Norv Turner,Hal Hunter,John Pagano,Philip Rivers,0.0
517,2010,6,Sun,Chargers,Rams,0.0,0,2.0,140.0,106.0,1689.0,620.0,2309.0,13.0,799.0,432.0,1231.0,11.0,Norv Turner,Clarence Shelmon,Ron Rivera,Philip Rivers,0.0
549,2019,6,Sun,Seahawks,Browns,0.0,0,4.0,133.0,118.0,1327.0,613.0,1940.0,5.0,1353.0,400.0,1753.0,8.0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson,1.0
565,2018,6,Sun,Seahawks,Raiders,0.0,0,2.0,116.0,114.0,969.0,612.0,1581.0,5.0,1130.0,645.0,1775.0,11.0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson,1.0
596,2016,6,Sun,Seahawks,Falcons,1.0,1,3.0,79.0,54.0,1058.0,372.0,1430.0,5.0,735.0,321.0,1056.0,4.0,Pete Carroll,Darrell Bevell,Kris Richard,Russell Wilson,1.0
613,2015,6,Sun,Seahawks,Panthers,1.0,0,2.0,111.0,98.0,1068.0,712.0,1780.0,7.0,1071.0,463.0,1534.0,7.0,Pete Carroll,Darrell Bevell,Kris Richard,Russell Wilson,0.0
628,2014,6,Sun,Seahawks,Cowboys,1.0,0,3.0,110.0,83.0,804.0,669.0,1473.0,3.0,1022.0,249.0,1271.0,3.0,Pete Carroll,Darrell Bevell,Dan Quinn,Russell Wilson,0.0
645,2013,6,Sun,Seahawks,Titans,1.0,0,4.0,137.0,81.0,1037.0,795.0,1832.0,8.0,973.0,545.0,1518.0,15.0,Pete Carroll,Darrell Bevell,Dan Quinn,Russell Wilson,1.0
661,2012,6,Sun,Seahawks,Patriots,1.0,0,3.0,86.0,70.0,735.0,701.0,1436.0,8.0,960.0,333.0,1293.0,7.0,Pete Carroll,Darrell Bevell,Gus Bradley,Russell Wilson,1.0
692,2010,6,Sun,Seahawks,Bears,0.0,1,2.0,75.0,77.0,791.0,318.0,1109.0,9.0,1208.0,291.0,1499.0,8.0,Pete Carroll,Jeremy Bates,Gus Bradley,Matt Hasselbeck,1.0
725,2019,6,Sun,Cardinals,Falcons,1.0,0,1.0,100.0,138.0,1185.0,634.0,1819.0,4.0,1346.0,694.0,2040.0,3.0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray,1.0
741,2018,6,Sun,Cardinals,Vikings,0.0,0,1.0,65.0,112.0,731.0,323.0,1054.0,8.0,1243.0,712.0,1955.0,9.0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen,0.0
757,2017,6,Sun,Cardinals,Buccaneers,1.0,0,2.0,81.0,125.0,1445.0,259.0,1704.0,7.0,1156.0,474.0,1630.0,4.0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer,1.0
773,2016,6,Mon,Cardinals,Jets,1.0,0,2.0,125.0,101.0,1241.0,575.0,1816.0,10.0,949.0,591.0,1540.0,12.0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer,1.0
789,2015,6,Sun,Cardinals,Steelers,0.0,0,4.0,190.0,90.0,1291.0,674.0,1965.0,7.0,1176.0,486.0,1662.0,13.0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer,0.0
804,2014,6,Sun,Cardinals,Washington,1.0,0,3.0,86.0,86.0,868.0,354.0,1222.0,3.0,1210.0,307.0,1517.0,7.0,Bruce Arians,Harold Goodwin,Todd Bowles,Drew Stanton,1.0
821,2013,6,Sun,Cardinals,49ers,0.0,0,3.0,91.0,95.0,1126.0,405.0,1531.0,11.0,1322.0,395.0,1717.0,11.0,Bruce Arians,Harold Goodwin,Todd Bowles,Carson Palmer,0.0
837,2012,6,Sun,Cardinals,Bills,1.0,0,4.0,94.0,78.0,1049.0,317.0,1366.0,7.0,1155.0,515.0,1670.0,11.0,Ken Whisenhunt,Mike Miller,Ray Horton,John Skelton,0.0
869,2010,6,Sun,Cardinals,Bills,1.0,0,4.0,94.0,78.0,1049.0,317.0,1366.0,7.0,1155.0,515.0,1670.0,11.0,Ken Whisenhunt,Mike Miller,Ray Horton,Derek Anderson,0.0
901,2019,6,Mon,Packers,Lions,1.0,0,4.0,119.0,93.0,1221.0,465.0,1686.0,4.0,1193.0,691.0,1884.0,11.0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers,1.0
917,2018,6,Mon,Packers,49ers,1.0,0,2.0,115.0,114.0,1499.0,506.0,2005.0,8.0,1044.0,525.0,1569.0,6.0,Mike McCarthy,Joe Philbin,Mike Pettine,Aaron Rodgers,1.0
933,2017,6,Sun,Packers,Vikings,0.0,0,4.0,137.0,112.0,1225.0,458.0,1683.0,5.0,999.0,607.0,1606.0,9.0,Mike McCarthy,Edgar Bennett,Dom Capers,Brett Hundley,0.0
948,2016,6,Sun,Packers,Cowboys,1.0,0,3.0,98.0,83.0,839.0,448.0,1287.0,5.0,1100.0,171.0,1271.0,4.0,Mike McCarthy,Edgar Bennett,Dom Capers,Aaron Rodgers,0.0
965,2015,6,Sun,Packers,Chargers,1.0,0,5.0,137.0,81.0,1184.0,631.0,1815.0,4.0,931.0,651.0,1582.0,9.0,Mike McCarthy,Edgar Bennett,Dom Capers,Aaron Rodgers,1.0
981,2014,6,Sun,Packers,Dolphins,0.0,0,3.0,134.0,106.0,1098.0,448.0,1546.0,4.0,1044.0,815.0,1859.0,10.0,Mike McCarthy,Tom Clements,Dom Capers,Aaron Rodgers,1.0
996,2013,6,Sun,Packers,Ravens,0.0,0,2.0,118.0,97.0,1249.0,564.0,1813.0,7.0,1155.0,344.0,1499.0,5.0,Mike McCarthy,Tom Clements,Dom Capers,Aaron Rodgers,1.0
1013,2012,6,Sun,Packers,Texans,0.0,0,2.0,112.0,111.0,1204.0,486.0,1690.0,6.0,1150.0,571.0,1721.0,5.0,Mike McCarthy,Tom Clements,Dom Capers,Aaron Rodgers,1.0
1029,2011,6,Sun,Packers,Rams,1.0,0,5.0,173.0,111.0,1648.0,495.0,2143.0,6.0,1499.0,379.0,1878.0,13.0,Mike McCarthy,Joe Philbin,Dom Capers,Aaron Rodgers,1.0
1045,2010,6,Sun,Packers,Dolphins,1.0,0,3.0,119.0,89.0,1177.0,535.0,1712.0,10.0,1062.0,524.0,1586.0,8.0,Mike McCarthy,Joe Philbin,Dom Capers,Aaron Rodgers,0.0
1077,2019,6,Sun,Saints,Jaguars,0.0,0,4.0,115.0,116.0,1220.0,522.0,1742.0,5.0,1275.0,542.0,1817.0,6.0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees,1.0
1108,2017,6,Sun,Saints,Lions,1.0,1,2.0,93.0,78.0,1106.0,376.0,1482.0,0.0,1061.0,438.0,1499.0,4.0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees,1.0
1124,2016,6,Sun,Saints,Panthers,1.0,1,1.0,114.0,130.0,1217.0,327.0,1544.0,5.0,1205.0,486.0,1691.0,6.0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees,1.0
1141,2015,6,Thu,Saints,Falcons,1.0,0,1.0,103.0,143.0,1510.0,427.0,1937.0,10.0,1366.0,679.0,2045.0,5.0,Sean Payton,Pete Carmichael,Rob Ryan,Drew Brees,1.0
1173,2013,6,Sun,Saints,Patriots,0.0,0,5.0,134.0,73.0,1636.0,389.0,2025.0,5.0,1109.0,543.0,1652.0,11.0,Sean Payton,Pete Carmichael,Rob Ryan,Drew Brees,0.0
1205,2011,6,Sun,Saints,Buccaneers,0.0,0,4.0,157.0,125.0,1683.0,577.0,2260.0,7.0,1235.0,538.0,1773.0,4.0,Sean Payton,Pete Carmichael,Gregg Williams,Drew Brees,0.0
1221,2010,6,Sun,Saints,Buccaneers,0.0,0,3.0,99.0,102.0,1356.0,378.0,1734.0,9.0,938.0,594.0,1532.0,8.0,Sean Payton,Pete Carmichael,Gregg Williams,Drew Brees,1.0
1253,2019,6,Thu,Giants,Patriots,0.0,0,2.0,97.0,125.0,1244.0,580.0,1824.0,11.0,1397.0,650.0,2047.0,6.0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones,0.0
1269,2018,6,Thu,Giants,Eagles,1.0,0,1.0,104.0,128.0,1311.0,378.0,1689.0,8.0,1147.0,622.0,1769.0,5.0,Pat Shurmur,Mike Shula,James Bettcher,Eli Manning,0.0
1285,2017,6,Sun,Giants,Broncos,0.0,0,0.0,82.0,122.0,1243.0,389.0,1632.0,6.0,1124.0,695.0,1819.0,3.0,Ben McAdoo,Mike Sullivan,Steve Spagnuolo,Eli Manning,1.0
1301,2016,6,Sun,Giants,Ravens,1.0,0,2.0,89.0,108.0,1332.0,418.0,1750.0,10.0,1308.0,483.0,1791.0,3.0,Ben McAdoo,Mike Sullivan,Steve Spagnuolo,Eli Manning,1.0
1317,2015,6,Mon,Giants,Eagles,0.0,0,3.0,132.0,109.0,1408.0,456.0,1864.0,3.0,1521.0,403.0,1924.0,8.0,Tom Coughlin,Ben McAdoo,Steve Spagnuolo,Eli Manning,0.0
1333,2014,6,Sun,Giants,Eagles,0.0,0,3.0,133.0,111.0,1118.0,605.0,1723.0,10.0,1325.0,495.0,1820.0,10.0,Tom Coughlin,Ben McAdoo,Perry Fewell,Eli Manning,0.0
1349,2013,6,Thu,Giants,Bears,0.0,0,0.0,82.0,182.0,1401.0,284.0,1685.0,20.0,1346.0,630.0,1976.0,7.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,Eli Manning,0.0
1365,2012,6,Sun,Giants,49ers,0.0,0,3.0,152.0,111.0,1545.0,601.0,2146.0,7.0,1307.0,557.0,1864.0,11.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,Eli Manning,1.0
1381,2011,6,Sun,Giants,Bills,1.0,0,3.0,127.0,123.0,1377.0,419.0,1796.0,9.0,1256.0,611.0,1867.0,11.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,Eli Manning,1.0
1397,2010,6,Sun,Giants,Lions,1.0,0,3.0,106.0,98.0,1239.0,651.0,1890.0,15.0,730.0,493.0,1223.0,11.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,Eli Manning,1.0
1444,2018,6,Sun,Bears,Dolphins,0.0,1,3.0,111.0,65.0,878.0,486.0,1364.0,5.0,922.0,256.0,1178.0,11.0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky,0.0
1461,2017,6,Sun,Bears,Ravens,0.0,0,1.0,78.0,124.0,914.0,585.0,1499.0,12.0,1024.0,501.0,1525.0,3.0,John Fox,Dowell Loggains,Vic Fangio,Mitchell Trubisky,1.0
1477,2016,6,Sun,Bears,Jaguars,1.0,0,1.0,85.0,126.0,1408.0,454.0,1862.0,7.0,1138.0,592.0,1730.0,4.0,John Fox,Dowell Loggains,Vic Fangio,Jay Cutler,0.0
1493,2015,6,Sun,Bears,Lions,0.0,0,2.0,86.0,142.0,1001.0,581.0,1582.0,7.0,952.0,594.0,1546.0,4.0,John Fox,Adam Gase,Vic Fangio,Jay Cutler,0.0
1509,2014,6,Sun,Bears,Falcons,0.0,0,2.0,116.0,131.0,1231.0,512.0,1743.0,10.0,1232.0,581.0,1813.0,11.0,Marc Trestman,Aaron Kromer,Mel Tucker,Jay Cutler,1.0
1525,2013,6,Thu,Bears,Giants,1.0,0,3.0,145.0,140.0,1303.0,540.0,1843.0,10.0,1394.0,489.0,1883.0,14.0,Marc Trestman,Aaron Kromer,Mel Tucker,Jay Cutler,1.0
1557,2011,6,Sun,Bears,Vikings,1.0,0,2.0,107.0,122.0,1083.0,507.0,1590.0,5.0,1420.0,678.0,2098.0,8.0,Lovie Smith,Mike Martz,Rod Marinelli,Jay Cutler,1.0
1573,2010,6,Sun,Bears,Seahawks,1.0,0,4.0,92.0,74.0,911.0,493.0,1404.0,12.0,1083.0,393.0,1476.0,14.0,Lovie Smith,Mike Martz,Rod Marinelli,Jay Cutler,0.0
1605,2019,6,Sun,Panthers,Buccaneers,0.0,0,3.0,129.0,107.0,1132.0,718.0,1850.0,8.0,985.0,672.0,1657.0,8.0,Ron Rivera,Norv Turner,Eric Washington,Kyle Allen,1.0
1620,2018,6,Sun,Panthers,Washington,0.0,0,3.0,104.0,91.0,843.0,616.0,1459.0,4.0,1122.0,380.0,1502.0,9.0,Ron Rivera,Norv Turner,Eric Washington,Cam Newton,0.0
1637,2017,6,Thu,Panthers,Eagles,1.0,0,4.0,105.0,94.0,1143.0,493.0,1636.0,7.0,971.0,399.0,1370.0,3.0,Ron Rivera,Mike Shula,Steve Wilks,Cam Newton,0.0
1653,2016,6,Sun,Panthers,Saints,0.0,0,1.0,123.0,135.0,1337.0,623.0,1960.0,14.0,1232.0,474.0,1706.0,7.0,Ron Rivera,Mike Shula,Sean McDermott,Cam Newton,0.0
1668,2015,6,Sun,Panthers,Seahawks,0.0,1,4.0,108.0,71.0,759.0,529.0,1288.0,3.0,988.0,368.0,1356.0,11.0,Ron Rivera,Mike Shula,Sean McDermott,Cam Newton,1.0
1685,2014,6,Sun,Panthers,Bengals,0.0,0,3.0,104.0,120.0,1258.0,375.0,1633.0,6.0,1194.0,648.0,1842.0,10.0,Ron Rivera,Mike Shula,Sean McDermott,Cam Newton,0.0
1700,2013,6,Sun,Panthers,Vikings,0.0,0,1.0,74.0,58.0,768.0,548.0,1316.0,9.0,837.0,369.0,1206.0,9.0,Ron Rivera,Mike Shula,Sean McDermott,Cam Newton,1.0
1733,2011,6,Sun,Panthers,Falcons,0.0,0,1.0,116.0,132.0,1558.0,583.0,2141.0,7.0,1155.0,676.0,1831.0,5.0,Ron Rivera,Rob Chudzinski,Sean McDermott,Cam Newton,0.0
1781,2019,6,Sun,Buccaneers,Panthers,1.0,0,2.0,147.0,148.0,1252.0,547.0,1799.0,6.0,1618.0,349.0,1967.0,10.0,Bruce Arians,Byron Leftwich,Todd Bowles,Jameis Winston,0.0
1796,2018,6,Sun,Buccaneers,Falcons,0.0,1,2.0,112.0,139.0,1453.0,278.0,1731.0,9.0,1432.0,351.0,1783.0,5.0,Dirk Koetter,Todd Monken,Mike Smith,Jameis Winston,0.0
1812,2017,6,Sun,Buccaneers,Cardinals,0.0,0,2.0,85.0,83.0,1152.0,344.0,1496.0,4.0,1236.0,349.0,1585.0,6.0,Dirk Koetter,Todd Monken,Mike Smith,Jameis Winston,0.0
1861,2014,6,Sun,Buccaneers,Ravens,1.0,0,1.0,103.0,156.0,1025.0,452.0,1477.0,11.0,1461.0,601.0,2062.0,9.0,Lovie Smith,Jeff Tedford,Leslie Frazier,Josh McCown,0.0
1876,2013,6,Sun,Buccaneers,Eagles,1.0,1,0.0,44.0,70.0,697.0,402.0,1099.0,8.0,952.0,377.0,1329.0,8.0,Greg Schiano,Mike Sullivan,Bill Sheridan,Mike Glennon,0.0
1892,2012,6,Sun,Buccaneers,Chiefs,1.0,1,1.0,82.0,91.0,740.0,364.0,1104.0,5.0,1381.0,295.0,1676.0,8.0,Greg Schiano,Mike Sullivan,Bill Sheridan,Josh Freeman,1.0
1909,2011,6,Sun,Buccaneers,Saints,1.0,0,3.0,87.0,125.0,1129.0,554.0,1683.0,8.0,1273.0,617.0,1890.0,7.0,Raheem Morris,Greg Olson,Keith Millard,Josh Freeman,1.0
1924,2010,6,Sun,Buccaneers,Saints,1.0,0,3.0,74.0,80.0,841.0,414.0,1255.0,7.0,790.0,573.0,1363.0,12.0,Raheem Morris,Greg Olson,Raheem Morris,Josh Freeman,0.0
1957,2019,6,Sun,Falcons,Cardinals,0.0,0,1.0,102.0,152.0,1566.0,338.0,1904.0,9.0,1287.0,604.0,1891.0,4.0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan,0.0
1973,2018,6,Sun,Falcons,Buccaneers,1.0,0,1.0,133.0,163.0,1521.0,446.0,1967.0,3.0,1386.0,607.0,1993.0,5.0,Dan Quinn,Steve Sarkisian,Marquand Manuel,Matt Ryan,1.0
1988,2017,6,Sun,Falcons,Dolphins,1.0,1,3.0,104.0,89.0,1050.0,503.0,1553.0,6.0,901.0,372.0,1273.0,2.0,Dan Quinn,Steve Sarkisian,Marquand Manuel,Matt Ryan,0.0
2005,2016,6,Sun,Falcons,Seahawks,0.0,0,4.0,175.0,140.0,1667.0,620.0,2287.0,3.0,1451.0,493.0,1944.0,6.0,Dan Quinn,Kyle Shanahan,Richard Smith,Matt Ryan,0.0
2021,2015,6,Thu,Falcons,Saints,0.0,0,5.0,162.0,112.0,1401.0,630.0,2031.0,5.0,1440.0,392.0,1832.0,10.0,Dan Quinn,Kyle Shanahan,Richard Smith,Matt Ryan,0.0
2037,2014,6,Sun,Falcons,Bears,1.0,0,2.0,151.0,143.0,1596.0,577.0,2173.0,11.0,1298.0,738.0,2036.0,9.0,Mike Smith,Dirk Koetter,Mike Nolan,Matt Ryan,0.0
2069,2012,6,Sun,Falcons,Raiders,1.0,0,5.0,148.0,93.0,1408.0,474.0,1882.0,4.0,1015.0,714.0,1729.0,14.0,Mike Smith,Dirk Koetter,Mike Nolan,Matt Ryan,1.0
2085,2011,6,Sun,Falcons,Panthers,1.0,0,2.0,104.0,130.0,1198.0,494.0,1692.0,10.0,1471.0,446.0,1917.0,9.0,Mike Smith,Mike Mularkey,Brian VanGorder,Matt Ryan,1.0
2101,2010,6,Sun,Falcons,Eagles,0.0,0,4.0,113.0,70.0,1107.0,744.0,1851.0,6.0,1117.0,433.0,1550.0,13.0,Mike Smith,Mike Mularkey,Brian VanGorder,Matt Ryan,0.0
2133,2019,6,Sun,Washington,Dolphins,0.0,0,0.0,73.0,151.0,1064.0,344.0,1408.0,11.0,1319.0,720.0,2039.0,7.0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum,1.0
2148,2018,6,Sun,Washington,Panthers,1.0,0,2.0,83.0,87.0,980.0,452.0,1432.0,5.0,911.0,370.0,1281.0,6.0,Jay Gruden,Matt Cavanaugh,Greg Manusky,Alex Smith,1.0
2164,2017,6,Sun,Washington,49ers,1.0,1,2.0,91.0,89.0,932.0,520.0,1452.0,7.0,890.0,355.0,1245.0,7.0,Jay Gruden,Matt Cavanaugh,Greg Manusky,Kirk Cousins,1.0
2181,2016,6,Sun,Washington,Eagles,1.0,0,3.0,115.0,122.0,1398.0,432.0,1830.0,7.0,1310.0,650.0,1960.0,9.0,Jay Gruden,Sean McVay,Joe Barry,Kirk Cousins,1.0
2197,2015,6,Sun,Washington,Jets,0.0,0,2.0,97.0,104.0,1193.0,609.0,1802.0,9.0,1082.0,488.0,1570.0,6.0,Jay Gruden,Sean McVay,Joe Barry,Kirk Cousins,0.0
2213,2014,6,Sun,Washington,Cardinals,0.0,0,1.0,112.0,136.0,1444.0,524.0,1968.0,9.0,1127.0,573.0,1700.0,4.0,Jay Gruden,Sean McVay,Jim Haslett,Robert Griffin III,0.0
2228,2013,6,Sun,Washington,Cowboys,0.0,1,1.0,91.0,112.0,1139.0,424.0,1563.0,7.0,1193.0,569.0,1762.0,7.0,Mike Shanahan,Kyle Shanahan,Jim Haslett,Robert Griffin III,0.0
2245,2012,6,Sun,Washington,Vikings,1.0,0,2.0,140.0,147.0,1190.0,813.0,2003.0,4.0,1643.0,439.0,2082.0,11.0,Mike Shanahan,Kyle Shanahan,Jim Haslett,Robert Griffin III,1.0
2260,2011,6,Sun,Washington,Eagles,1.0,1,3.0,83.0,63.0,917.0,507.0,1424.0,7.0,848.0,338.0,1186.0,6.0,Mike Shanahan,Kyle Shanahan,Jim Haslett,Rex Grossman,0.0
