,Year,Week,Day,Base_Team,Opp,Home,After_Bye,Wins Tally,PF Tally,PA Tally,OPassY Tally,ORushY Tally,OTotYd Tally,TO_lost Tally,DPassY Tally,DRushY Tally,DTotYd Tally,TO_won Tally,Head_Coach,OC,DC,QB,Results
21,2019,7,Sun,49ers,Washington,0.0,0,5.0,147.0,64.0,1141.0,899.0,2040.0,10.0,751.0,436.0,1187.0,12.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,1.0
38,2018,7,Sun,49ers,Rams,1.0,0,1.0,148.0,179.0,1436.0,855.0,2291.0,14.0,1674.0,589.0,2263.0,3.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Jimmy Garoppolo,0.0
54,2017,7,Sun,49ers,Cowboys,1.0,0,0.0,113.0,146.0,1359.0,569.0,1928.0,7.0,1574.0,677.0,2251.0,8.0,Kyle Shanahan,Kyle Shanahan,Robert Saleh,Brian Hoyer,0.0
70,2016,7,Sun,49ers,Buccaneers,1.0,0,1.0,127.0,185.0,1017.0,740.0,1757.0,10.0,1293.0,1047.0,2340.0,10.0,Chip Kelly,Curtis Modkins,Jim O'Neil,Blaine Gabbert,0.0
86,2015,7,Thu,49ers,Seahawks,1.0,0,2.0,100.0,160.0,1217.0,710.0,1927.0,7.0,1837.0,617.0,2454.0,5.0,Jim Tomsula,Geep Chryst,Eric Mangini,Colin Kaepernick,0.0
102,2014,7,Sun,49ers,Broncos,0.0,0,4.0,141.0,123.0,1378.0,814.0,2192.0,6.0,1244.0,479.0,1723.0,11.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,0.0
118,2013,7,Sun,49ers,Titans,0.0,0,4.0,145.0,118.0,1146.0,850.0,1996.0,11.0,1238.0,677.0,1915.0,13.0,Jim Harbaugh,Greg Roman,Vic Fangio,Colin Kaepernick,1.0
134,2012,7,Thu,49ers,Seahawks,1.0,0,4.0,152.0,94.0,1261.0,1061.0,2322.0,8.0,1099.0,556.0,1655.0,10.0,Jim Harbaugh,Greg Roman,Vic Fangio,Alex Smith,1.0
166,2010,7,Sun,49ers,Panthers,0.0,0,1.0,93.0,139.0,1359.0,547.0,1906.0,15.0,1207.0,667.0,1874.0,7.0,Mike Singletary,Jimmy Raye,Greg Manusky,David Carr,0.0
198,2019,7,Sun,Rams,Falcons,0.0,0,3.0,153.0,154.0,1635.0,590.0,2225.0,12.0,1448.0,633.0,2081.0,9.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,1.0
214,2018,7,Sun,Rams,49ers,0.0,0,6.0,196.0,118.0,1860.0,926.0,2786.0,6.0,1470.0,594.0,2064.0,8.0,Sean McVay,Sean McVay,Wade Phillips,Jared Goff,1.0
230,2017,7,Sun,Rams,Cardinals,1.0,0,4.0,179.0,138.0,1463.0,696.0,2159.0,11.0,1264.0,837.0,2101.0,10.0,Sean McVay,Matt LaFleur,Wade Phillips,Jared Goff,1.0
246,2016,7,Sun,Rams,Giants,1.0,0,3.0,110.0,137.0,1323.0,485.0,1808.0,9.0,1477.0,694.0,2171.0,9.0,Jeff Fisher,Rob Boras,Gregg Williams,Case Keenum,0.0
261,2015,7,Sun,Rams,Browns,1.0,1,2.0,84.0,113.0,916.0,569.0,1485.0,8.0,1177.0,567.0,1744.0,9.0,Jeff Fisher,Rob Boras,Gregg Williams,Nick Foles,1.0
277,2014,7,Sun,Rams,Seahawks,1.0,0,1.0,101.0,150.0,1350.0,530.0,1880.0,10.0,1112.0,699.0,1811.0,7.0,Jeff Fisher,Brian Schottenheimer,Gregg Williams,Shaun Hill,1.0
294,2013,7,Sun,Rams,Panthers,0.0,0,3.0,141.0,154.0,1343.0,431.0,1774.0,6.0,1549.0,783.0,2332.0,12.0,Jeff Fisher,Brian Schottenheimer,Tim Walton,Sam Bradford,0.0
310,2012,7,Sun,Rams,Packers,1.0,0,3.0,110.0,111.0,1217.0,635.0,1852.0,8.0,1247.0,622.0,1869.0,9.0,Jeff Fisher,Brian Schottenheimer,Jeff Fisher,Sam Bradford,0.0
325,2011,7,Sun,Rams,Cowboys,0.0,0,0.0,49.0,137.0,1054.0,488.0,1542.0,7.0,1208.0,809.0,2017.0,6.0,Steve Spagnuolo,Josh McDaniels,Ken Flajole,Sam Bradford,0.0
342,2010,7,Sun,Rams,Buccaneers,0.0,0,3.0,103.0,113.0,1264.0,626.0,1890.0,11.0,1364.0,633.0,1997.0,11.0,Steve Spagnuolo,Pat Shurmur,Ken Flajole,Sam Bradford,0.0
374,2019,7,Sun,Chargers,Titans,0.0,0,2.0,120.0,118.0,1728.0,481.0,2209.0,11.0,1207.0,723.0,1930.0,7.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,0.0
390,2018,7,Sun,Chargers,Titans,1.0,0,4.0,175.0,144.0,1651.0,824.0,2475.0,6.0,1565.0,581.0,2146.0,10.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,1.0
406,2017,7,Sun,Chargers,Broncos,1.0,0,2.0,116.0,131.0,1597.0,474.0,2071.0,7.0,1116.0,915.0,2031.0,6.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Philip Rivers,1.0
422,2016,7,Sun,Chargers,Falcons,0.0,0,2.0,173.0,155.0,1580.0,551.0,2131.0,13.0,1678.0,501.0,2179.0,11.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,1.0
438,2015,7,Sun,Chargers,Raiders,1.0,0,2.0,136.0,161.0,2078.0,520.0,2598.0,11.0,1331.0,795.0,2126.0,7.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,0.0
454,2014,7,Sun,Chargers,Chiefs,1.0,0,5.0,164.0,91.0,1713.0,556.0,2269.0,2.0,1256.0,594.0,1850.0,9.0,Mike McCoy,Frank Reich,John Pagano,Philip Rivers,0.0
470,2013,7,Sun,Chargers,Jaguars,0.0,0,3.0,144.0,138.0,1783.0,603.0,2386.0,10.0,1648.0,660.0,2308.0,3.0,Mike McCoy,Ken Whisenhunt,John Pagano,Philip Rivers,1.0
