Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,10-Sep,L,,0-1,@,Detroit Lions,23,35,308,263,45,4,367,285,82,1
2,Sun,17-Sep,W,OT,1-Jan,@,Indianapolis Colts,16,13,389,306,83,1,266,190,76,1
3,Mon,25-Sep,L,,2-Jan,,Dallas Cowboys,17,28,332,283,49,,273,174,99,
4,Sun,1-Oct,W,OT,2-Feb,,San Francisco 49ers,18,15,368,317,51,1,305,210,95,1
5,Sun,8-Oct,L,,3-Feb,@,Philadelphia Eagles,7,34,307,276,31,1,419,297,122,1
6,Sun,15-Oct,W,,3-Mar,,Tampa Bay Buccaneers,38,33,432,272,160,2,412,344,68,2
7,Sun,22-Oct,L,,4-Mar,@,Los Angeles Rams,0,33,196,171,25,2,425,228,197,1
8,,,,,,,Bye Week,,,,,,,,,,
9,Sun,5-Nov,W,,4-Apr,@,San Francisco 49ers,20,10,368,201,167,2,329,266,63,2
10,Thu,9-Nov,L,,5-Apr,,Seattle Seahawks,16,22,290,256,34,1,287,212,75,
11,Sun,19-Nov,L,,6-Apr,@,Houston Texans,21,31,292,244,48,2,357,223,134,2
12,Sun,26-Nov,W,,6-May,,Jacksonville Jaguars,27,24,344,236,108,2,219,128,91,3
13,Sun,3-Dec,L,,7-May,,Los Angeles Rams,16,32,305,187,118,2,303,213,90,1
14,Sun,10-Dec,W,,7-Jun,,Tennessee Titans,12,7,261,125,136,,204,139,65,2
15,Sun,17-Dec,L,,8-Jun,@,Washington Redskins,15,20,286,145,141,2,218,187,31,1
16,Sun,24-Dec,W,,8-Jul,,New York Giants,23,0,289,215,74,2,293,250,43,3
17,Sun,31-Dec,W,,8-Aug,@,Seattle Seahawks,26,24,259,143,116,1,296,195,101,
