Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,11-Sep,L,,0-1,,New England Patriots,21,23,344,252,92,,363,257,106,2
2,Sun,18-Sep,W,,1-Jan,,Tampa Bay Buccaneers,40,7,416,311,105,,306,221,85,5
3,Sun,25-Sep,L,,2-Jan,@,Buffalo Bills,18,33,348,260,88,5,297,89,208,1
4,Sun,2-Oct,L,,3-Jan,,Los Angeles Rams,13,17,420,302,118,5,288,247,41,1
5,Thu,6-Oct,W,,3-Feb,@,San Francisco 49ers,33,21,288,116,172,,286,135,151,3
6,Mon,17-Oct,W,,3-Mar,,New York Jets,28,3,396,225,171,,230,197,33,2
7,Sun,23-Oct,T,OT,3/3/2001,,Seattle Seahawks,6,6,443,311,132,,257,205,52,
8,Sun,30-Oct,L,,3/4/2001,@,Carolina Panthers,20,30,340,316,24,2,349,208,141,1
9,,,,,,,Bye Week,,,,,,,,,,
10,Sun,13-Nov,W,,4/4/2001,,San Francisco 49ers,23,20,443,363,80,4,281,198,83,1
11,Sun,20-Nov,L,,4/5/2001,@,Minnesota Vikings,24,30,290,155,135,2,217,145,72,1
12,Sun,27-Nov,L,,4/6/2001,@,Atlanta Falcons,19,38,332,274,58,1,360,244,116,1
13,Sun,4-Dec,W,,5/6/2001,,Washington Redskins,31,23,369,281,88,,333,246,87,2
14,Sun,11-Dec,L,,5/7/2001,@,Miami Dolphins,23,26,300,125,175,4,314,231,83,3
15,Sun,18-Dec,L,,5/8/2001,,New Orleans Saints,41,48,425,309,116,2,488,358,130,1
16,Sat,24-Dec,W,,6/8/2001,@,Seattle Seahawks,34,31,370,276,94,1,391,313,78,1
17,Sun,1-Jan,W,,7/8/2001,@,Los Angeles Rams,44,6,344,260,84,2,123,71,52,3
