Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,8-Sep,T,OT,0-0-1,,Detroit Lions,27,27,387,275,112,1,477,361,116,2
2,Sun,15-Sep,L,,0-1-1,@,Baltimore Ravens,17,23,349,329,20,,440,258,182,
3,Sun,22-Sep,L,,0-2-1,,Carolina Panthers,20,38,248,127,121,2,413,240,173,1
4,Sun,29-Sep,L,,0-3-1,,Seattle Seahawks,10,27,321,206,115,1,340,225,115,
5,Sun,6-Oct,W,,1/3/2001,@,Cincinnati Bengals,26,23,514,248,266,,370,262,108,
6,Sun,13-Oct,W,,2/3/2001,,Atlanta Falcons,34,33,442,340,102,,444,341,103,
7,Sun,20-Oct,W,,3/3/2001,@,New York Giants,27,21,245,89,156,,263,156,107,3
8,Sun,27-Oct,L,,3/4/2001,@,New Orleans Saints,9,31,237,197,40,,510,373,137,1
9,Thu,31-Oct,L,,3/5/2001,,San Francisco 49ers,25,28,357,204,153,,411,310,101,
10,Sun,10-Nov,L,,3/6/2001,@,Tampa Bay Buccaneers,27,30,417,342,75,2,457,339,118,3
11,Sun,17-Nov,L,,3/7/2001,@,San Francisco 49ers,26,36,266,131,135,2,442,408,34,2
12,,,,,,,Bye Week,,,,,,,,,,
13,Sun,1-Dec,L,,3/8/2001,,Los Angeles Rams,7,34,198,124,74,1,549,417,132,
14,Sun,8-Dec,L,,3/9/2001,,Pittsburgh Steelers,17,23,236,165,71,3,275,135,140,2
15,Sun,15-Dec,W,,4/9/2001,,Cleveland Browns,38,24,445,219,226,1,393,241,152,2
16,Sun,22-Dec,W,,5/9/2001,@,Seattle Seahawks,27,13,412,159,253,,224,133,91,1
17,Sun,29-Dec,L,,5/10/2001,@,Los Angeles Rams,24,31,393,322,71,5,424,311,113,
