Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,13-Sep,W,,Jan-00,,New Orleans Saints,31,19,427,307,120,1,408,354,54,1
2,Sun,20-Sep,W,,Feb-00,@,Chicago Bears,48,23,300,185,115,2,335,226,109,2
3,Sun,27-Sep,W,,Mar-00,,San Francisco 49ers,47,7,446,307,139,1,156,53,103,4
4,Sun,4-Oct,L,,1-Mar,,St. Louis Rams,22,24,447,334,113,3,328,164,164,
5,Sun,11-Oct,W,,1-Apr,@,Detroit Lions,42,17,345,158,187,,435,379,56,6
6,Sun,18-Oct,L,,2-Apr,@,Pittsburgh Steelers,13,25,469,414,55,3,310,169,141,
7,Mon,26-Oct,W,,2-May,,Baltimore Ravens,26,18,414,264,150,,276,221,55,2
8,Sun,1-Nov,W,,2-Jun,@,Cleveland Browns,34,20,491,372,119,4,254,215,39,2
9,,,,,,,Bye Week,,,,,,,,,,
10,Sun,15-Nov,W,,2-Jul,@,Seattle Seahawks,39,32,451,334,117,3,343,228,115,1
11,Sun,22-Nov,W,,2-Aug,,Cincinnati Bengals,34,31,383,301,82,2,377,278,99,1
12,Sun,29-Nov,W,,2-Sep,@,San Francisco 49ers,19,13,337,267,70,,368,301,67,2
13,Sun,6-Dec,W,,2-Oct,@,St. Louis Rams,27,3,524,349,175,,212,146,66,1
14,Thu,10-Dec,W,,2-Nov,,Minnesota Vikings,23,20,393,296,97,,389,317,72,3
15,Sun,20-Dec,W,,2-Dec,@,Philadelphia Eagles,40,17,493,263,230,,424,350,74,4
16,Sun,27-Dec,W,,13-2,,Green Bay Packers,38,8,381,260,121,2,178,77,101,4
17,Sun,3-Jan,L,,13-3,,Seattle Seahawks,6,36,232,205,27,3,354,209,145,
,,Playoffs,,,,,,,,,,,,,,,
Division,Sat,16-Jan,W,OT,14-3,,Green Bay Packers,26,20,368,328,40,2,386,251,135,1
Conf. Champ.,Sun,24-Jan,L,,14-4,@,Carolina Panthers,15,49,287,227,60,7,476,324,152,1
