,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,D_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2016.0,1.0,75.0,75.0,25.0,100.0,1.0,83.33,12.0
1,2016.0,1.0,75.0,62.5,31.25,100.0,1.0,69.23,13.0
2,2016.0,1.0,43.75,37.5,37.5,33.33,3.0,44.44,9.0
3,2016.0,1.0,66.67,66.67,33.33,75.0,4.0,71.43,7.0
4,2016.0,1.0,50.0,64.29,50.0,50.0,4.0,100.0,7.0
5,2016.0,1.0,46.67,33.33,46.67,40.0,5.0,42.86,7.0
6,2016.0,1.0,71.43,64.29,64.29,77.78,9.0,100.0,3.0
7,2016.0,1.0,66.67,66.67,75.0,100.0,5.0,75.0,4.0
8,2016.0,1.0,84.62,53.85,69.23,100.0,5.0,80.0,5.0
9,2016.0,1.0,78.57,42.86,35.71,75.0,4.0,37.5,8.0
10,2016.0,1.0,78.57,57.14,64.29,83.33,6.0,100.0,6.0
11,2016.0,1.0,43.75,43.75,50.0,60.0,5.0,66.67,6.0
12,2016.0,1.0,60.0,46.67,53.33,66.67,6.0,83.33,6.0
13,2016.0,1.0,50.0,43.75,56.25,75.0,4.0,55.56,9.0
14,2016.0,1.0,62.5,68.75,43.75,83.33,6.0,100.0,4.0
15,2016.0,1.0,56.25,56.25,50.0,71.43,7.0,50.0,6.0
16,2016.0,1.0,81.25,43.75,68.75,83.33,6.0,85.71,7.0
