Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,12-Sep,W,,Jan-00,,Oakland Raiders,38,13,345,140,205,1,286,150,136,2,
2,Sun,19-Sep,L,,1-Jan,,Pittsburgh Steelers,11,19,238,192,46,7,127,21,106,1,
3,Sun,26-Sep,W,,1-Feb,@,New York Giants,29,10,271,110,161,,471,364,107,3,
4,Sun,3-Oct,L,,2-Feb,,Denver Broncos,20,26,288,167,121,2,327,308,19,1,
5,Sun,10-Oct,W,,2-Mar,@,Dallas Cowboys,34,27,321,163,158,,511,370,141,3,
6,Mon,18-Oct,W,,2-Apr,@,Jacksonville Jaguars,30,3,324,171,153,,249,173,76,4,
7,Sun,24-Oct,W,,2-May,,Philadelphia Eagles,37,19,328,253,75,3,326,227,99,4,
8,Sun,31-Oct,L,,3-May,@,San Diego Chargers,25,33,370,305,65,,456,300,156,1,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,14-Nov,L,,4-May,@,Miami Dolphins,17,29,259,124,135,3,404,316,88,1,
11,Sun,21-Nov,L,OT,5-May,,Washington Redskins,16,19,373,222,151,2,465,358,107,1,
12,Sun,28-Nov,L,,6-May,@,Houston Texans,0,20,162,138,24,3,346,158,188,,
13,Sun,5-Dec,L,,7-May,,Jacksonville Jaguars,6,17,220,163,57,2,377,119,258,,
14,Thu,9-Dec,L,,8-May,,Indianapolis Colts,28,30,365,244,121,2,399,312,87,,
15,Sun,19-Dec,W,,8-Jun,,Houston Texans,31,17,359,212,147,1,323,293,30,1,
16,Sun,26-Dec,L,,9-Jun,@,Kansas City Chiefs,14,34,270,213,57,2,458,306,152,2,
17,Sun,2-Jan,L,,10-Jun,@,Indianapolis Colts,20,23,341,290,51,1,358,257,101,1,
