Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,W,,Jan-00,,Dallas Cowboys,27,24,360,315,45,2,390,326,64,3,
2,Sun,18-Sep,W,,Feb-00,,Jacksonville Jaguars,32,3,283,182,101,2,203,91,112,4,
3,Sun,25-Sep,L,,1-Feb,@,Oakland Raiders,24,34,439,339,100,2,383,149,234,,
4,Sun,2-Oct,L,,2-Feb,@,Baltimore Ravens,17,34,150,112,38,4,267,155,112,3,
5,Sun,9-Oct,L,,3-Feb,@,New England Patriots,21,30,255,158,97,,446,294,152,1,
6,Mon,17-Oct,W,,3-Mar,,Miami Dolphins,24,6,296,192,104,1,308,190,118,3,
7,Sun,23-Oct,W,,3-Apr,,San Diego Chargers,27,21,318,156,162,2,268,172,96,2,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,6-Nov,W,,3-May,@,Buffalo Bills,27,11,348,222,126,2,287,191,96,3,
10,Sun,13-Nov,L,,4-May,,New England Patriots,16,37,378,268,110,3,389,329,60,,
11,Thu,17-Nov,L,,5-May,@,Denver Broncos,13,17,318,235,83,2,229,104,125,1,
12,Sun,27-Nov,W,,5-Jun,,Buffalo Bills,28,24,318,180,138,2,336,250,86,,
13,Sun,4-Dec,W,,5-Jul,@,Washington Redskins,34,19,266,165,101,1,304,204,100,3,
14,Sun,11-Dec,W,,5-Aug,,Kansas City Chiefs,37,10,314,155,159,1,221,156,65,1,
15,Sun,18-Dec,L,,6-Aug,@,Philadelphia Eagles,19,45,241,147,94,4,420,260,160,4,
16,Sat,24-Dec,L,,7-Aug,,New York Giants,14,29,331,226,105,3,332,217,115,1,
17,Sun,1-Jan,L,,8-Aug,@,Miami Dolphins,17,19,374,245,129,3,210,128,82,2,
