Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,,Jan-00,,Atlanta Falcons,23,17,419,341,78,1,367,279,88,2,
2,Sun,15-Sep,W,,Feb-00,@,Tampa Bay Buccaneers,16,14,371,296,75,2,273,113,160,2,
3,Sun,22-Sep,W,,Mar-00,,Arizona Cardinals,31,7,423,319,104,1,247,161,86,2,
4,Mon,30-Sep,W,,Apr-00,,Miami Dolphins,38,17,465,397,68,1,331,216,115,4,
5,Sun,6-Oct,W,,May-00,@,Chicago Bears,26,18,347,283,64,,434,340,94,1,
6,Sun,13-Oct,L,,1-May,@,New England Patriots,27,30,361,230,131,2,376,235,141,1,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,27-Oct,W,,1-Jun,,Buffalo Bills,35,17,386,309,77,,299,211,88,3,
9,Sun,3-Nov,L,,2-Jun,@,New York Jets,20,26,407,366,41,2,338,140,198,,
10,Sun,10-Nov,W,,2-Jul,,Dallas Cowboys,49,17,625,383,242,1,193,104,89,,
11,Sun,17-Nov,W,,2-Aug,,San Francisco 49ers,23,20,387,295,92,3,196,115,81,1,
12,Thu,21-Nov,W,,2-Sep,@,Atlanta Falcons,17,13,374,271,103,,355,264,91,1,
13,Mon,2-Dec,L,,3-Sep,@,Seattle Seahawks,7,34,188,144,44,1,429,302,127,,
14,Sun,8-Dec,W,,3-Oct,,Carolina Panthers,31,13,373,304,69,,239,111,128,,
15,Sun,15-Dec,L,,4-Oct,@,St. Louis Rams,16,27,432,371,61,3,302,158,144,,
16,Sun,22-Dec,L,,5-Oct,@,Carolina Panthers,13,17,365,239,126,2,222,141,81,1,
17,Sun,29-Dec,W,,5-Nov,,Tampa Bay Buccaneers,42,17,468,370,98,,290,215,75,1,
18,Sat,4-Jan,W,,5-Dec,@,Philadelphia Eagles,26,24,434,249,185,2,256,176,80,,
19,Sat,11-Jan,L,,6-Dec,@,Seattle Seahawks,15,23,409,301,108,1,277,103,174,,
